,CommID,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
659,UgwUOT-k8tEG5YKcctp4AaABAg.8zZioEQUx-D90ToF8NQ3dK,Halle Gibson,https://yt3.ggpht.com/a/AGF-l79UXTmTncgwMawkAHl0IaMMtR7qLxlSfrZ1Uw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCYE-wQDPIsyhpfrh5AdtNcw,{'value': 'UCYE-wQDPIsyhpfrh5AdtNcw'},iI48g7YTZFA,Ugh neither 😭😭,Ugh neither 😭😭,True,none,1,2019-10-24T14:43:38.000Z,2019-10-24T14:43:38.000Z,UgwUOT-k8tEG5YKcctp4AaABAg
660,UgwUOT-k8tEG5YKcctp4AaABAg.8zZioEQUx-D90OfLD68Mej,StrudelDaddi,https://yt3.ggpht.com/a/AGF-l78mGZdpBNpQKJaNnHqmE-6rq0UV1CqfoIdVgA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCppnWc7pdv5LHM51HbIBz3A,{'value': 'UCppnWc7pdv5LHM51HbIBz3A'},iI48g7YTZFA,A 10 million dollar mansion? Wow imagine being *THAT* broke 😒👋💆🏽‍♀️💖,A 10 million dollar mansion? Wow imagine being *THAT* broke 😒👋💆🏽‍♀️💖,True,none,3,2019-10-22T14:49:37.000Z,2019-10-22T14:49:37.000Z,UgwUOT-k8tEG5YKcctp4AaABAg
661,UgwUOT-k8tEG5YKcctp4AaABAg.8zZioEQUx-D90L6PV3OhK1,Eye Am Patch Animations,https://yt3.ggpht.com/a/AGF-l7-Ojb92co4B7azjHPJi7AnyGmBUoFy5LrbbFQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCnpzFxwajXaHr3gJ6vl8CZA,{'value': 'UCnpzFxwajXaHr3gJ6vl8CZA'},iI48g7YTZFA,omg 😭😭 i can’t even imagine 💔💔,omg 😭😭 i can’t even imagine 💔💔,True,none,2,2019-10-21T05:37:55.000Z,2019-10-21T05:37:55.000Z,UgwUOT-k8tEG5YKcctp4AaABAg
662,UgwUOT-k8tEG5YKcctp4AaABAg.8zZioEQUx-D90GODZbWgl4,Naturally Alex,https://yt3.ggpht.com/a/AGF-l79MYrK8dOh0JLcFz6GlIfAKiZA6-jwWZEOlfw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCvXhBf8nZahLT5izL84Dj_A,{'value': 'UCvXhBf8nZahLT5izL84Dj_A'},iI48g7YTZFA,Arhhh it's so annoying 😖,Arhhh it's so annoying 😖,True,none,1,2019-10-19T09:37:22.000Z,2019-10-19T09:37:22.000Z,UgwUOT-k8tEG5YKcctp4AaABAg
663,UgwfIfC3MEaCrE9sd9d4AaABAg,Calico Bunny,https://yt3.ggpht.com/a/AGF-l79d0CEOHKxXsB6OgmVb_cefdGm0qU9_tG5Y3g=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC6uuCxG4zzkCi6oJuzsSVfQ,{'value': 'UC6uuCxG4zzkCi6oJuzsSVfQ'},iI48g7YTZFA,I thought Drew would always be humble but damn... when he showed us his toilet I felt severely flexed on 😔,I thought Drew would always be humble but damn... when he showed us his toilet I felt severely flexed on 😔,True,none,0,2019-12-04T22:19:16.000Z,2019-12-04T22:19:16.000Z,0
664,UgyzmaxrpKYtYhQvqxd4AaABAg,Wyatt,https://yt3.ggpht.com/a/AGF-l7-9hrLTqR24j5eZAmQkfn-UsBiQIl-tIR5hXQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC4WDfP7W6Fm8mxXHX9Q19Ng,{'value': 'UC4WDfP7W6Fm8mxXHX9Q19Ng'},iI48g7YTZFA,"@11:46 “plz send me money plz”


Ah, the voice of the people.","@11:46 “plz send me money plz”


Ah, the voice of the people.",True,none,0,2019-12-13T01:17:02.000Z,2019-12-13T01:17:02.000Z,0
665,UgyWCBWpoXMiZRLlTM54AaABAg,V Sen,https://yt3.ggpht.com/a/AGF-l7-ycARCgeg9vygC_loFKriF8JZ5bjjl2dHSMw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC0nlz4WhyQl4PSigSJqYxHw,{'value': 'UC0nlz4WhyQl4PSigSJqYxHw'},iI48g7YTZFA,"Tbh, I don't really think that's their house. Most of time I guess they just rent the place of shooting the videos. All those closet, accessories, clothes, big vehicles, etc., seem very much rented.
It is very difficult for me to believe everything they show really belongs to them.","Tbh, I don't really think that's their house. Most of time I guess they just rent the place of shooting the videos. All those closet, accessories, clothes, big vehicles, etc., seem very much rented.
It is very difficult for me to believe everything they show really belongs to them.",True,none,4,2019-12-21T05:30:56.000Z,2019-12-21T05:30:56.000Z,0
666,UgzYiK_0arEJCJGSTrh4AaABAg,Whut Dafeq,https://yt3.ggpht.com/a/AGF-l7-BCcEww6-hG0KeiwI2YPA3VWWe8DaO6lkLQg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZgEittSgvOHbBMS2CLoOLg,{'value': 'UCZgEittSgvOHbBMS2CLoOLg'},iI48g7YTZFA,Liked the video because you praised my girl Jenna❤,Liked the video because you praised my girl Jenna❤,True,none,1,2020-01-16T12:16:25.000Z,2020-01-16T12:16:25.000Z,0
667,Ugx-W2LHawOeb5rmqdd4AaABAg,Dillon Green,https://yt3.ggpht.com/a/AGF-l78mq1UVMUwt7PYhyUj6KcramkaOnJ6BTStE8A=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCdcNDiHJ7NxJ3QG8vkWd9Mg,{'value': 'UCdcNDiHJ7NxJ3QG8vkWd9Mg'},iI48g7YTZFA,"It makes me so happy when people recognize how amazing Jenna Marbles is. No joke, I subbed to this channel because she mentioned Drew in one of her videos.","It makes me so happy when people recognize how amazing Jenna Marbles is. No joke, I subbed to this channel because she mentioned Drew in one of her videos.",True,none,3972,2019-08-22T02:01:21.000Z,2019-08-22T02:01:21.000Z,0
668,Ugx-W2LHawOeb5rmqdd4AaABAg.8yvDvsCcnGq8zRc-kIuYeZ,Rad Chad,https://yt3.ggpht.com/a/AGF-l7_gdXeQGQKEhFfKCu7JEGwovfLn9hHscX6wNg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCHOrFcfHKDV-4kNgOfCaY4Q,{'value': 'UCHOrFcfHKDV-4kNgOfCaY4Q'},iI48g7YTZFA,when ur faves acknowledge each other >>>>>>>>>>>>>>,when ur faves acknowledge each other >>>>>>>>>>>>>>,True,none,0,2019-09-04T01:15:24.000Z,2019-09-04T01:15:24.000Z,Ugx-W2LHawOeb5rmqdd4AaABAg
